index,link,Title,Price,km,Zustand,Registration date,kW,hp,transmission,Ffuel,Type,Previous Owners,Last Service Date,Warranty,Full Service,Non-smoking Vehicle,Make,Model,First Registration,Body Color,Paint Type,Upholstery,Body,Nr. of Doors,Nr. of Seats,Gearing Type,Gears,Displacement,Cylinders,Weight,Fuel,ConsumptionYou can obtain more information on the official fuel consumption and official specific CO2 emissions of new passenger vehicles from the guideline on fuel consumption and CO2 emissions of new passenger vehicles. This guideline is available free of charge at all dealerships and from Deutsche Automobil Treuhand GmbH at www.dat.de.,CO2 EmissionYou can obtain more information on the official fuel consumption and official specific CO2 emissions of new passenger vehicles from the guideline on fuel consumption and CO2 emissions of new passenger vehicles. This guideline is available free of charge at all dealerships and from Deutsche Automobil Treuhand GmbH at www.dat.de.,Offer Number,Body Color Original,Drive chain,Emission Class,Availability,Country version,Emission Label,Next Inspection,Electricity consumptionYou can obtain more information on the official fuel consumption and official specific CO2 emissions of new passenger vehicles from the guideline on fuel consumption and CO2 emissions of new passenger vehicles. This guideline is available free of charge at all dealerships and from Deutsche Automobil Treuhand GmbH at www.dat.de.,Inspection new,Model Code,Last Timing Belt Service Date,Other Fuel Types,CO2 Emission
0,https://www.autoscout24.com//offers/skoda-octavia-combi-1-6-ambition-tdi-4x4-green-tec-anhaengerk-diesel-grey-bd9a2a4e-bd6e-4473-84d0-1fe06553f2af,"Skoda Octavia Combi 1,6 Ambition TDI 4x4 Green tec Anhängerk.","€ 15,900.-","97,000 km","Used, Full Service History",07/2014,77 kW,105 hp,"Manual, Diesel","Manual, Diesel",Used,1,03/2019,6 months,,,Skoda,Octavia,2014,Grey,Metallic,"Cloth, Black",Station wagon,5,5,Manual,5,"1,598 cc",4,"1,435 kg",Diesel,"4.5 l/100 km (comb)
5.5 l/100 km (city)
4 l/100 km (country)",119 g CO2/km (comb),,,,,,,,,,,,,,
1,https://www.autoscout24.com//offers/audi-a3-sportback-1-6-tdi-intense-diesel-black-d37673a0-4c7f-492e-81cb-961ba54ed1ae,"Audi A3 Sportback 1,6 TDI Intense","€ 21,490.-","40,851 km",Used,03/2017,85 kW,116 hp,"Manual, Diesel","Manual, Diesel",Used,,,,,,Audi,A3,2017,Black,,"Full leather, Grey",Compact,5,,Manual,6,"1,598 cc",,,Diesel,"4 l/100 km (comb)
4.5 l/100 km (city)
3.7 l/100 km (country)",108 g CO2/km (comb),3439876,schwarz,front,Euro 6,,,,,,,,,,
2,https://www.autoscout24.com//offers/mercedes-benz-a-180-cdi-blue-efficiency-diesel-blue-f96d6b94-9f85-3617-e053-e250040a7f0a,Mercedes-Benz A 180 CDI BLUE EFFICIENCY,"€ 15,800.-","106,000 km",Used,03/2013,80 kW,109 hp,"Manual, Diesel","Manual, Diesel",Used,,,,,,Mercedes-Benz,A 180,2013,Blue,Metallic,Full leather,,5,5,Manual,,,,,Diesel,,,,,,,,,,,,,,,,
3,https://www.autoscout24.com//offers/ford-focus-titanium-1-0-ecob-125ps-lager-aktion-gasoline-grey-8e459422-01c0-4238-ac59-efef366a3ec8,"Ford Focus Titanium 1,0 Ecob. 125PS, LAGER AKTION","€ 21,390.-",10 km,"New, Full Service History",-/-,92 kW,125 hp,"Manual, Gasoline","Manual, Gasoline",New,,,60 months,,,Ford,Focus,,Grey,Metallic,Cloth,Sedans,5,5,Manual,6,999 cc,,,Gasoline,"4.8 l/100 km (comb)
5.9 l/100 km (city)
4.1 l/100 km (country)",107 g CO2/km (comb),95172,Magnetic Grau Metallic,front,,,,,,,,,,,
4,https://www.autoscout24.com//offers/hyundai-kona-impression-dct-4wd-krell-led-smartkey-smartsens-gasoline-red-f6b84d38-3e07-47f0-a849-c44e56109309,Hyundai Kona Impression DCT 4WD KRELL LED SmartKey SmartSens...,"€ 27,465.-",10 km,New,-/-,130 kW,177 hp,"Automatic, Gasoline","Automatic, Gasoline",New,,,,,,Hyundai,Kona,,Red,,,Off-Road/Pick-up,5,,Automatic,,"1,591 cc",4,,Super 95,"7.1 l/100 km (comb)
8.3 l/100 km (city)
6.1 l/100 km (country)",158 g CO2/km (comb),330397,"PULSE RED, DARK KNIGHT...",4WD,Euro 6d-TEMP,in 14 days from ordering,European Union,4 (Green),,,,,,,
5,https://www.autoscout24.com//offers/mercedes-benz-a-160-led-navi-gasoline-grey-27c9c2e8-fb3e-40e0-8a31-8fac2f6151e8,Mercedes-Benz A 160 *LED *NAVI,"€ 26,500.-","6,186 km",Employee's car,04/2019,80 kW,109 hp,"Manual, Gasoline","Manual, Gasoline",Employee's car,1,,38 months,,,Mercedes-Benz,A 160,2019,Grey,Metallic,,Sedans,5,5,Manual,,"1,332 cc",,,Gasoline,"5.8 l/100 km (comb)
7.7 l/100 km (city)
4.6 l/100 km (country)",132 g CO2/km (comb),070021911185,mountaingrau metallic,front,,,,,,,,,,,
6,https://www.autoscout24.com//offers/bmw-116-d-sport-line-diesel-red-329be898-cb29-429e-9909-0a6814dfd3dc,BMW 116 d Sport Line,"€ 18,950.-","42,000 km",Used,03/2015,85 kW,116 hp,"Automatic, Diesel","Automatic, Diesel",Used,1,,,,,BMW,116,2015,Red,,Cloth,Compact,5,5,Automatic,8,"1,496 cc",,,Diesel (Particulate Filter),,,3273895,rot,rear,Euro 6,,,,,,,,,,
7,https://www.autoscout24.com//offers/bmw-530-d-xdrive-diesel-blue-e60160c0-ccb5-48bb-9bf2-8597e4bfae59,BMW 530 d xDrive,"€ 43,850.-","46,000 km","Used, Full Service History",05/2017,195 kW,265 hp,"Automatic, Diesel","Automatic, Diesel",Used,,,12 months,,,BMW,530,2017,Blue,Metallic,Full leather,Sedans,4,,Automatic,8,"2,993 cc",,,Diesel,"5 l/100 km (comb)
5.8 l/100 km (city)
4.6 l/100 km (country)",132 g CO2/km (comb),3431576,bluestone,4WD,Euro 6,,,,,,,,,,
8,https://www.autoscout24.com//offers/hyundai-i30-kombi-1-6-crdi-dpf-trend-blue-navi-klimaaut-diesel-black-5c9bdf56-84cb-47c2-aeff-be82ad743e05,Hyundai i30 Kombi 1.6 CRDi DPF Trend blue Navi Klimaaut,"€ 13,666.-","70,553 km","Used, Full Service History",06/2017,81 kW,110 hp,"Manual, Diesel","Manual, Diesel",Used,,,,,,Hyundai,i30,2017,Black,Metallic,Cloth,Station wagon,5,,Manual,,"1,582 cc",,,Diesel (Particulate Filter),"3.9 l/100 km (comb)
4.4 l/100 km (city)
3.6 l/100 km (country)",102 g CO2/km (comb),3392216,schwarz,,,,,,06/2020,,,,,,
9,https://www.autoscout24.com//offers/audi-q2-1-0-tfsi-design-gasoline-red-1001f2dd-f1f1-4e22-b7b3-e579ffb62a6a,Audi Q2 1.0 TFSI Design,"€ 32,490.-","17,810 km","Used, Full Service History",08/2018,85 kW,116 hp,"Automatic, Gasoline","Automatic, Gasoline",Used,,,,,,Audi,Q2,2018,Red,Metallic,,Off-Road/Pick-up,4,5,Automatic,,999 cc,,"1,292 kg",Gasoline,"5.1 l/100 km (comb)

",,101-22906,mittelrot metallic,front,,,,,,,,,,,
